"RuleId","Severity","Title","Mitre","Why","Artifact","Module"
"DGL-000","MEDIUM","Operating system installed less than 7 days ago","","An unexpected reinstall may indicate evidence was wiped","01_system","Sistem Bilgisi"
"DGL-001","CRITICAL","Service binary in a suspicious directory","T1543.003","Legitimate services run from System32 or Program Files","05_services","Servisler"
"DGL-002","MEDIUM","System unpatched for 90+ days","T1190","An unpatched system is exposed to known exploits - a common initial access vector","01_hotfixes","Hotfix / Yama Durumu"
"DGL-014","CRITICAL","Event log may have been cleared","T1070.001","Log capacity is large and not full, yet no historical records exist. This is deletion, not rollover.","11_log_health","Event Log Sagligi"
"DGL-015","HIGH","Critical event log channel disabled","T1562.002","An attacker may have disabled visibility","11_log_health","Event Log Sagligi"
"DGL-016","INFO","Requested time window exceeds log retention","","The effective analysis window is shorter than requested - account for this when scoping","11_log_health","Event Log Sagligi"
"DGL-017","MEDIUM","Sysmon is not installed","","Process/network/pipe visibility is severely limited - hunting depth is reduced","11_log_health","Event Log Sagligi"
"DGL-018","INFO","Event collection limit reached - data truncated","","Narrow the analysis window or raise -MaxEventsPerChannel","11_event_stats","Suruculer"
"DGL-019","INFO","File scan limit reached","","Narrow the analysis window","13_recent_files","Dosya Sistemi Taramasi"
"DGL-020","MEDIUM","Account password changed within the analysis window","T1098","If the account was compromised, the attacker may have changed the password","02_local_users","Kullanici ve Gruplar"
"DGL-021","HIGH","Enabled account requires no password","T1078.003","An enabled passwordless account grants direct access","02_local_users","Kullanici ve Gruplar"
"DGL-022","(tablo)","Built-in account is enabled","T1078.001","Guest and the built-in Administrator should normally be disabled","02_local_users","Kullanici ve Gruplar"
"DGL-023","HIGH","New user profile created within the analysis window","T1136.001","Account creation is a common persistence technique","02_user_profiles","Kullanici ve Gruplar"
"DGL-024","MEDIUM","Large membership in local Administrators group","T1078","Broad admin membership expands the lateral movement surface","02_group_members","Kullanici ve Gruplar"
"DGL-030","CRITICAL","Autorun executes from a suspicious directory","T1547","Legitimate autorun entries live under System32 or Program Files","","Event Log Sagligi"
"DGL-031","HIGH","Autorun points to an unsigned binary","T1547","Unsigned persistent startup entry","","Event Log Sagligi"
"DGL-032","MEDIUM","Autorun target does not exist","","Remnant of removed malware, or an opportunity for path hijacking","","Event Log Sagligi"
"DGL-033","(tablo)","Suspicious autorun command","(tablo)","Attacker behaviour pattern matched in a persistent entry","","Event Log Sagligi"
"DGL-040","HIGH","Process running from a suspicious directory","T1036","Temp/AppData/ProgramData are the most common malware execution directories","03_processes","Process Agaci"
"DGL-041","HIGH","Unsigned process running from a user profile","T1204","Legitimate software usually lives under Program Files and is signed","03_processes","Process Agaci"
"DGL-042","CRITICAL","System binary masquerading","T1036.005","This binary name is expected only in its protected system directory","03_processes","Process Agaci"
"DGL-043","(tablo)","Suspicious command line","(tablo)","Command line matching known attacker behaviour","03_processes","Process Agaci"
"DGL-044","(tablo)","Anomalous parent-child process relationship","(tablo)","This parent-child relationship does not occur during normal operation","03_processes","Process Agaci"
"DGL-045","HIGH","Compression/exfiltration/tunnelling tool running","T1560","Indicator of the collection and exfiltration stage","03_processes","Process Agaci"
"DGL-046","MEDIUM","Process image path could not be read","","May be a protected process, or the image was deleted from disk","03_processes","Process Agaci"
"DGL-047","HIGH","Multiple discovery commands running simultaneously","T1082","Indicator of hands-on-keyboard reconnaissance","03_processes","Process Agaci"
"DGL-050","CRITICAL","netsh portproxy rule present (tunnelling)","T1090.001","Port forwarding is almost always for pivoting or tunnelling","04_portproxy","Ag Baglantilari"
"DGL-051","HIGH","User proxy AutoConfigURL is set","T1090","A malicious PAC file can redirect traffic to attacker infrastructure","04_proxy_config","Ag Baglantilari"
"DGL-052","HIGH","Hosts file modified within the analysis window","T1565.001","Blocking security vendor domains or redirecting traffic","04_hosts","Ag Baglantilari"
"DGL-053","CRITICAL","Suspicious process communicating with an external IP (possible C2)","T1071","An external connection from a process running in a temp directory indicates C2","04_tcp_connections","Ag Baglantilari"
"DGL-054","HIGH","Unsigned process communicating with an external IP","T1071","External traffic from an unsigned binary is the most common C2 channel appearance","04_tcp_connections","Ag Baglantilari"
"DGL-055","CRITICAL","Suspicious process listening on all interfaces (backdoor)","T1571","A listener that is unsigned or runs from a temp directory indicates a backdoor","04_listening_ports","Ag Baglantilari"
"DGL-056","HIGH","Firewall profile disabled","T1686.003","Attackers disable the firewall for C2 and lateral movement","04_firewall_profiles","Ag Baglantilari"
"DGL-057","CRITICAL","Firewall rule allows inbound traffic to a suspicious binary","T1686.003","Attackers add firewall rules for persistent access; legitimate software does not listen from Temp/AppData","04_firewall_inbound_allow","Ag Baglantilari"
"DGL-058","CRITICAL","Regularly spaced external connections (possible beaconing)","T1071","External connections repeating at fixed intervals are the signature of an automated C2 beacon","11_sysmon_3_network","Event: Sysmon"
"DGL-059","INFO","Limited network visibility - point-in-time connections only","T1071","Sysmon Event 3 is required for beaconing analysis","04_tcp_connections","Ag Baglantilari"
"DGL-060","HIGH","Service binary is unsigned","T1543.003","The vast majority of Windows services are signed; unsigned ones warrant review","05_services","Servisler"
"DGL-061","MEDIUM","Unquoted service path (binary hijack risk)","T1574.009","An unquoted path containing spaces can be hijacked by planting a binary in a parent directory","05_services","Servisler"
"DGL-062","HIGH","Service binary modified within the analysis window","T1543.003","Replacing an existing service binary provides persistence (service hijacking)","05_services","Servisler"
"DGL-063","HIGH","Randomised-looking service name","T1569.002","Cobalt Strike and similar tools generate random service names","05_services","Servisler"
"DGL-064","CRITICAL","Remote execution service detected","T1569.002","PsExec and its derivatives are used for lateral movement","05_services","Servisler"
"DGL-065","(tablo)","Suspicious command in service path","(tablo)","Attacker behaviour pattern matched in the service command line","05_services","Servisler"
"DGL-070","CRITICAL","Scheduled task runs from a suspicious directory","T1053.005","Legitimate tasks run from System32 or Program Files","06_scheduled_tasks","Zamanlanmis Gorevler"
"DGL-071","MEDIUM","Task defined in the root folder","T1053.005","Attacker-created tasks are usually left in the root folder","06_scheduled_tasks","Zamanlanmis Gorevler"
